Bundesland (Bundesländeratlas),Affiliation (Bundesländeratlas),Affiliation GERiT,Affiliation GERiT english,Affiliation RoR,RoR ID,GRID ID (Bundesländeratlas),GRID ID GERiT,Wikidata ID,DFG Instituts ID (GERiT),Straße (GERiT),Hausnummer (GERiT),Postfach (GERiT),Postleitzahl nach Ort (GERiT),Ort (GERiT),DESTATIS Fächerguppe (GERiT),DESTATIS Lehr- Forschungsbereich (GERiT),DESTATIS Fachgebiet (GERiT),Crossref ID 1 (GERiT),Crossref ID 2 (GERiT),Crossref ID 3 (GERiT),URL GERiT Nachweis (?),URL (Bundesländeratlas(,URL GERIT,"Typ (Universität; Hochschule
 Forschungsorganisation; Ressortforschung; 
 Vereinigung; Stiftung, Weitere) (Bundesländeratlas)",Typ GERIT,Typ GERIT english,OA-Webseite der Institution (Link) (Bundesländeratlas),Datumsstempel OA-Webseite (Bundesländeratlas),OA-Beauftragte/r (Bundesländeratlas),Link (Bundesländeratlas),Datumsstempel OA-beauftragte Person (Bundesländeratlas),Notes/Hinweise (Bundesländeratlas),"Ansprechperson (Bundesländeratlas)
 für Open Access",Link (Bundesländeratlas),Datumsstempel OA-Ansprechperson (Bundesländeratlas),"(Funktions)-
 Emailadresse (Bundesländeratlas)",OA-Policy (Bundesländeratlas),Datum der Policy (Bundesländeratlas),Policy Link (Bundesländeratlas),Notes/Hinweise zur Policy (Bundesländeratlas),OA-Leitlinien (Bundesländeratlas),Datum Leitlinien (Bundesländeratlas),Publikationsfonds (ja /nein) (Bundesländeratlas),Art der Finanzierung (Bundesländeratlas),"Publikationsfonds (Bundesländeratlas)
 Zeitschriften",Link (Bundesländeratlas),"Publikationsfonds (Bundesländeratlas)
 Monografien/Sammelbände",Publikationsfonds Link (Bundesländeratlas),Datumsstempel Publikationsfonds (Bundesländeratlas),Notes/Hinweise Publikationsfonds (Bundesländeratlas),Repositorium (Link) (Bundesländeratlas),Incentivierung /Preise (Bundesländeratlas),Berliner Erklärung (Bundesländeratlas),Datum Berliner Erklärung (Bundesländeratlas),OA2020 (Bundesländeratlas),Datum OA2020 (Bundesländeratlas),DORA (Institutionen) (Bundesländeratlas),DORA (Personen) (Bundesländeratlas),Jussieu-Appell (Bundesländeratlas),aktualisiert am (Bundesländeratlas)
Rheinland-Pfalz,Universität Trier,Universität Trier,Trier University,University of Trier,https://ror.org/02778hg05,grid.12391.38,grid.12391.38,NA,10321,NA,NA,NA,54286,Trier,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10321,,www.uni-trier.de,Universität,Universität,university,www.uni-trier.de/index.php?id=60801,01.12.2020,,,01.12.2020,keine Hinweise,Dr. Evgenia Grishina,www.uni-trier.de/index.php?id=60801,01.12.2020,openaccess@uni-trier.de,ja,16.06.2016,www.uni-trier.de/fileadmin/forschung/forschung/Downloads/OPEN_ACCESS_POLICY_2016.pdf,,,,ja,DFG-Kofinanziert,ja,www.uni-trier.de/index.php?id=60802,nein,,01.12.2020,keine Angabe zu Monografien/Sammelwerken,ubt.opus.hbz-nrw.de/home,,nein,,nein,,nein,"Anea Schote-Frese, Marcel Thiel",nein,01.12.2020
Rheinland-Pfalz,NA,Leibniz-Institut für Verbundwerkstoffe (IVW),Leibniz Institute for Composite Materials (IVW),Institute for Composite Materials,https://ror.org/03ep3q589,grid.29160.3c,NA,Q30279546,10606,Erwin-Schrödinger-Straße,58,NA,67663,Kaiserslautern,Ingenieurwissenschaften,Maschinenbau/Verfahrenstechnik,Kunststofftechnik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10606,www.ivw.uni-kl.de/,www.ivw.uni-kl.de/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rheinland-Pfalz,NA,Fraunhofer-Institut für Mikrotechnik und Mikrosysteme IMM,Fraunhofer Institute for Microengineering and Microsystems IMM,NA,NA,NA,NA,NA,10604,Carl-Zeiss-Straße,18-20,NA,55129,Mainz,Ingenieurwissenschaften,Elektrotechnik und Informationstechnik,Mikrosystemtechnik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10604,,www.imm.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rheinland-Pfalz,NA,Fraunhofer-Institut für Experimentelles Software Engineering (IESE),Fraunhofer Institute for Experimental Software Engineering (IESE),NA,NA,NA,grid.469863.6,NA,10685,Fraunhofer-Platz,1,NA,67663,Kaiserslautern,Ingenieurwissenschaften,Informatik,Angewandte Informatik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10685,,www.iese.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rheinland-Pfalz,NA,Fraunhofer-Institut für Techno- und Wirtschaftsmathematik (ITWM),Fraunhofer Institute for Industrial Mathematics (ITWM),NA,NA,NA,NA,NA,10825,Fraunhofer-Platz,1,NA,67663,Kaiserslautern,"Mathematik, Naturwissenschaften",Mathematik,Angewandte Mathematik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10825,,www.itwm.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saarland,CISPA - Helmholtz-Zentrum für Informationssicherheit,CISPA - Helmholtz-Zentrum für Informationssicherheit,Helmholtz Center for Information Security (CISPA),Helmholtz Center for Information Security,https://ror.org/02njgxr09,grid.507511.7,grid.507511.7,Q55436361,407295139,Stuhlsatzenhaus,5,NA,66123,Saarbrücken,Ingenieurwissenschaften,Informatik,Informatik allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/407295139,www.cispa.de/de,www.cispa.saarland/de/,Forschungsorganisation: Helmholtz-Gemeinschaft,HGF,Helmholtz,,04.01.2021,Georg Demme,os.helmholtz.de/open-science-in-der-helmholtz-gemeinschaft/akteure-und-ihre-rollen/#c2556,04.01.2021,,,,04.01.2021,demme[at]cispa.saarland,ja,07.04.2016,gfzpublic.gfz-potsdam.de/rest/items/item_5004288_3/component/file_5004290/content,,,,nein,,,,,,04.01.2021,,cispa.de/de/research/publications,,"ja, als HGF",22.10.2003,ja,21.03.2016,nein,,nein,04.01.2021
Saarland,Leibniz-Institut für Neue Materialien gGmbH (INM),Leibniz-Institut für Neue Materialien gGmbH (INM),Leibniz Institute for New Materials (INM),Leibniz-Institute for New Materials,https://ror.org/00g656d67,grid.425202.3,grid.425202.3,Q1565090,10741,Campus Geb. D 2.2,NA,NA,66123,Saarbrücken,"Mathematik, Naturwissenschaften","Physik, Astronomie",Materialphysik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10741,www.leibniz-inm.de,www.leibniz-inm.de,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,26.02.2021,Uwe Geith,https://www.ntnm-bib.de/wp-content/uploads/sites/3/2017/05/OA-Policy-INM_2017.pdf,26.02.2021,,Uwe Geith,https://www.ntnm-bib.de/wp-content/uploads/sites/3/2017/05/OA-Policy-INM_2017.pdf,26.02.2021,uwe.geith@leibniz-inm.de,ja,15.05.2017,https://www.ntnm-bib.de/wp-content/uploads/sites/3/2017/05/OA-Policy-INM_2017.pdf,,,,ja,über WGL Publikationsfonds,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html,26.02.2021,Strategiefonds der Leibniz-Gemeinschaft Pilotprjekt vom 1. Januar 2019 bis 30. Juni 2026,http://www.leibnizopen.de/home/index.html,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Saarland,Max-Planck-Institut für Informatik,Max-Planck-Institut für Informatik,Max-Planck Institute for Informatics,Max Planck Institute for Informatics,https://ror.org/01w19ak89,grid.419528.3,grid.419528.3,Q565400,10473,Campus Geb. E 1.4,NA,NA,66123,Saarbrücken,Ingenieurwissenschaften,Informatik,Informatik allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10473,www.mpi-inf.mpg.de,www.mpi-inf.mpg.de,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,,01.03.2021,,,01.03.2021,keine Hinweise,,,01.03.2021,,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,01.03.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,01.03.2021
Saarland,Max-Planck-Institut für Softwaresysteme,Max-Planck-Institut für Softwaresysteme,Max Planck Institute for Software Systems,Max Planck Institute for Software Systems,https://ror.org/02pe2kf23,grid.469860.5,grid.469860.5,Q881238,32336325,Campus E1 4,NA,NA,66123,Saarbrücken,Ingenieurwissenschaften,Informatik,Computer- und Kommunikationstechniken,NA,NA,NA,http://www.gerit.org/de/institutiondetail/32336325,www.mpg.de/155640/softwaresysteme_saarbruecken,www.mpg.de/155640/softwaresysteme_saarbruecken,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,,01.03.2021,,,01.03.2021,keine Hinweise,,,01.03.2021,,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,01.03.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,01.03.2021
Saarland,Schloss Dagstuhl - Leibniz-Zentrum für Informatik GmbH (LZI),Schloss Dagstuhl - Leibniz-Zentrum für Informatik GmbH (LZI),Schloss Dagstuhl - Leibniz Centre for Informatics (LZI GmbH),Schloss Dagstuhl – Leibniz Center for Informatics,https://ror.org/00k4h2615,grid.469874.0,NA,Q879857,26040,Octavieallee,NA,NA,66687,Wadern,Ingenieurwissenschaften,Informatik,Informatik allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/26040,www.dagstuhl.de/,www.dagstuhl.de/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,nein,,,,,,26.02.2021,,http://www.leibnizopen.de/home/index.html,,ja,03.08.2005,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Saarland,Universität des Saarlandes,Universität des Saarlandes,Saarland University,Saarland University,https://ror.org/01jdpyv68,grid.11749.3a,grid.11749.3a,NA,10335,NA,NA,Postfach 151150,66041,Saarbrücken,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10335,,www.uni-saarland.de,Universität,Universität,university,www.sulb.uni-saarland.de/service-fuer-die-wissenschaft/open-access,01.12.2020,,,01.12.2020,keine Hinweise,"Dr. Ulrich Herb, Verena Wohlleben",www.sulb.uni-saarland.de/lernen/open-access/,01.12.2020,u.herb@sulb.uni-saarland.de,ja,22.03.2012,www.sulb.uni-saarland.de/service-fuer-die-wissenschaft/open-access-an-der-universitaet-des-saarlandes/open-access-resolution-der-universitaet-des-saarlandes,,,,ja,DFG-Kofinanziert,ja,www.sulb.uni-saarland.de/service-fuer-die-wissenschaft/open-access-an-der-universitaet-des-saarlandes/open-access-publikationsfonds-der-universitaet-des-saarlandes,nein,,01.12.2020,keine Angabe zu Monografien/Sammelwerken,fedora.clarin-d.uni-saarland.de/,,ja,22.03.2012,nein,,nein,"Ulrich Herb, 
 Oxana Mishina, 
 Karin Romisch, Hans W. Giessen, 
 Arno Buecker",ja,01.12.2020
Saarland,NA,Fraunhofer-Institut für Zerstörungsfreie Prüfverfahren (IZFP),Fraunhofer Institute for Nondestructive Testing (IZFP),NA,NA,NA,grid.469830.0,NA,10658,Campus E3.1,NA,NA,66123,Saarbrücken,Ingenieurwissenschaften,Materialwissenschaft und Werkstofftechnik,Materialwissenschaft,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10658,,www.izfp.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachsen-Anhalt,Leibniz-Institut für Agrarentwicklung in Transformationsökonomien (IAMO),Leibniz-Institut für Agrarentwicklung in Transformationsökonomien (IAMO),Leibniz Institute of Agricultural Development in Transition Economies (IAMO),Leibniz Institute of Agricultural Development in Transition Economies,https://ror.org/03hkr1v69,grid.425200.1,grid.425200.1,Q832219,10672,Theodor-Lieser-Straße,2,NA,6120,Halle,"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin","Agrarwissenschaften, Lebensmittel- und Getränketechnologie",Agrarwissenschaften allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10672,www.iamo.de/,www.iamo.de/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,https://www.iamo.de/institut/open-access/,26.02.2021,,,26.02.2021,keine Hinweise,Christian Drondorf,https://www.iamo.de/institut/open-access/,26.02.2021,drondorf(at)iamo.de,ja,,https://www.iamo.de/fileadmin/user_upload/Bilder_und_Dokumente/02-institut/open_access/Open-Access-Policy_DE_20170407.pdf,keine Datumsangabe,,,ja,über WGL Publikationsfonds,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html,26.02.2021,Strategiefonds der Leibniz-Gemeinschaft Pilotprjekt vom 1. Januar 2019 bis 30. Juni 2026,http://www.leibnizopen.de/home/index.html,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Sachsen-Anhalt,Leibniz-Institut für Neurobiologie (LIN),Leibniz-Institut für Neurobiologie (LIN),Leibniz Institute for Neurobiology (LIN),Leibniz Institute for Neurobiology,https://ror.org/01zwmgk08,grid.418723.b,NA,Q1813753,10403,Brenneckestraße,6,NA,39118,Magdeburg,"Mathematik, Naturwissenschaften",Biologie,Neurobiologie,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10403,www.lin-magdeburg.de,www.lin-magdeburg.de,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,https://www.lin-magdeburg.de/service/bibliothek,26.02.2021,,,26.02.2021,keine Hinweise,Dr. Elke Behrends,https://www.lin-magdeburg.de/service/bibliothek,26.02.2021,bibliothek(at)lin-magdeburg.de,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,ja,über WGL Publikationsfonds,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html,26.02.2021,Strategiefonds der Leibniz-Gemeinschaft Pilotprjekt vom 1. Januar 2019 bis 30. Juni 2026,http://www.leibnizopen.de/home/index.html,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Sachsen-Anhalt,Leibniz-Institut für Pflanzenbiochemie (IPB),Leibniz-Institut für Pflanzenbiochemie (IPB),Leibniz Institute of Plant Biochemistry (IPB),Leibniz Institute of Plant Biochemistry,https://ror.org/01mzk5576,grid.425084.f,grid.425084.f,Q1522976,10407,Weinberg,3,NA,6120,Halle,"Mathematik, Naturwissenschaften",Biologie,Biochemie (f. Biologen),NA,NA,NA,http://www.gerit.org/de/institutiondetail/10407,www.ipb-halle.de/,www.ipb-halle.de/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,https://www.ipb-halle.de/oeffentlichkeit/aktuelles/artikel-detail/open-access-freier-zugang-zu-forschungsdaten/,26.02.2021,,,26.02.2021,keine Hinweise,Maike Langlhofer,https://www.ipb-halle.de/infrastruktur/bibliothek/,26.02.2021,Maike.Langlhofer@ipb-halle.de,ja,15.02.2016,https://www.ipb-halle.de/fileadmin/Infrastruktur/Bibliothek/2016_IPB_open_access_Leitlinie_DE.pdf,,,,ja,über WGL Publikationsfonds,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html,26.02.2021,Strategiefonds der Leibniz-Gemeinschaft Pilotprjekt vom 1. Januar 2019 bis 30. Juni 2026,http://www.leibnizopen.de/home/index.html,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Sachsen-Anhalt,Leibniz-Institut für Pflanzengenetik und Kulturpflanzenforschung (IPK),Leibniz-Institut für Pflanzengenetik und Kulturpflanzenforschung (IPK),Leibniz Institute of Plant Genetics and Crop Plant Research (IPK),Institute of Plant Genetics and Crop Plant Research,https://ror.org/02skbsp27,grid.418934.3,NA,Q1354858,10512,Corrensstraße,3,NA,6466,Gatersleben,"Mathematik, Naturwissenschaften",Biologie,Genetik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10512,www.ipk-gatersleben.de,www.ipk-gatersleben.de,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,26.02.2021,Dr. Catrin Kaydamov,https://www.ipk-gatersleben.de/fileadmin/content-ipk/content-ipk-bibliothek/Publikationsstrategie,26.02.2021,,Christoph Kupiec,https://www.ipb-halle.de/fileadmin/Infrastruktur/Bibliothek/2016_IPB_open_access_Leitlinie_DE.pdf,26.02.2021,oa-biblio(at)ipk-gatersleben.de,ja,03.2015,https://www.ipk-gatersleben.de/fileadmin/content-ipk/content-ipk-bibliothek/Publikationsstrategie,,,,ja,Eigenmittel,,,,,26.02.2021,"laut Policy gibt es einen Publikationsfonds, ist aber nicht zu finden; nicht über WGL Fonds;",http://www.leibnizopen.de/home/index.html,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Sachsen-Anhalt,Leibniz-Institut für Wirtschaftsforschung Halle (IWH),Leibniz-Institut für Wirtschaftsforschung Halle (IWH),Halle Institute for Economic Research (IWH),Halle Institute for Economic Research,https://ror.org/03gjpvv92,grid.469841.6,grid.469841.6,Q1665047,10406,Kleine Märkerstraße,8,NA,6108,Halle,"Rechts-, Wirtschafts- und Sozialwissenschaften",Wirtschaftswissenschaften,Wirtschaftswissenschaften allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10406,www.iwh-halle.de,www.iwh-halle.de,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,nein,,,,,,26.02.2021,,http://www.leibnizopen.de/home/index.html,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Sachsen-Anhalt,Martin-Luther-Universität Halle-Wittenberg,Martin-Luther-Universität Halle-Wittenberg,Martin Luther University Halle-Wittenberg,Martin Luther University Halle-Wittenberg,https://ror.org/05gqaka33,grid.9018.0,grid.9018.0,NA,10357,Universitätsplatz,10,NA,6108,Halle,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10357,,www.uni-halle.de/,Universität,Universität,university,openscience.bibliothek.uni-halle.de/,1.12.2020,,,1.12.2020,keine Hinweise,Silke Berndsen,openscience.bibliothek.uni-halle.de/das-open-science-team/,20.11.2020,silke.berndsen@bibliothek.uni-halle.de,ja,08.03.2017,openscience.bibliothek.uni-halle.de/open-access-policy-martin-luther-universitaet-halle-wittenberg/,,,,ja,Eigenmittel,ja,openscience.bibliothek.uni-halle.de/publikationsfonds/,ja,openscience.bibliothek.uni-halle.de/publikationsfonds/,01.12.2020,,opendata.uni-halle.de/,,nein,,nein,,nein,Kristin Teichmann,nein,01.12.2020
Sachsen-Anhalt,Max-Planck-Institut für Dynamik komplexer technischer Systeme,Max-Planck-Institut für Dynamik komplexer technischer Systeme,Max Planck Institute for Dynamics of Complex Technical Systems,Max Planck Institute for Dynamics of Complex Technical Systems,https://ror.org/030h7k016,grid.419517.f,grid.419517.f,Q1438623,10727,Sandtorstraße,1,NA,39106,Magdeburg,Ingenieurwissenschaften,Ingenieurwissenschaften allgemein,Ingenieurwissenschaften allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10727,www.mpi-magdeburg.mpg.de,www.mpi-magdeburg.mpg.de,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,www.mpi-magdeburg.mpg.de/divisions/library/publication-services,01.03.2021,,,01.03.2021,keine Hinweise,Kristina Reinhold,openaccess.mpg.de/318587/MPG-Open-Access-Network,01.03.2021,reinhold@mpi-magdeburg.mpg.de,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,01.03.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,01.03.2021
Sachsen-Anhalt,Max-Planck-Institut für ethnologische Forschung,Max-Planck-Institut für ethnologische Forschung,Max Planck Institute for Social Anthropology,Max Planck Institute for Social Anthropology,https://ror.org/02mavc002,grid.461785.9,grid.461785.9,Q1636610,10816,Advokatenweg,36,NA,6114,Halle,Geisteswissenschaften,Kulturwissenschaften i.e.S.,Ethnologie,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10816,www.eth.mpg.de,www.eth.mpg.de,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,,26.02.2021,,,26.02.2021,keine Hinweise,Bettina Mann,openaccess.mpg.de/318587/MPG-Open-Access-Network,26.02.2021,mann@eth.mpg.de,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,26.02.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,26.02.2021
Sachsen-Anhalt,Max-Planck-Institut für Mikrostrukturphysik,Max-Planck-Institut für Mikrostrukturphysik,Max Planck Institute of Microstructure Physics,Max Planck Institute of Microstructure Physics,https://ror.org/0095xwr23,grid.450270.4,grid.450270.4,Q1912088,10579,Weinberg,2,NA,6120,Halle,"Mathematik, Naturwissenschaften","Physik, Astronomie",Physik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10579,www.mpi-halle.mpg.de/,www.mpi-halle.mpg.de/,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,"ja, als MPG",,openaccess.mpg.de/3544/Positionen,,,,ja,über die MPG,ja,www.mpdl.mpg.de/ueber-uns/nachrichten/602-open-access-publizieren.html,nein,,26.02.2021,nur Journals aus Liste: oapublishing.mpdl.mpg.de/journals/,pure.mpg.de/,,"ja, als MPG",22.10.2003,"ja, als MPG",21.03.2016,nein,,nein,26.02.2021
Sachsen-Anhalt,Otto-von-Guericke-Universität Magdeburg,Otto-von-Guericke-Universität Magdeburg,Otto-von-Guericke University Magdeburg,Otto-von-Guericke University Magdeburg,https://ror.org/00ggpsq73,grid.5807.a,grid.5807.a,NA,10359,Universitätsplatz,2,NA,39106,Magdeburg,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10359,,www.uni-magdeburg.de,Universität,Universität,university,www.ub.ovgu.de/Publizieren+_+Open+Access/Open+Access.html,20.11.2020,,www.ub.ovgu.de/Publizieren+_+Open+Access/Open+Access/Publikationsfonds+Monografien.html,01.12.2020,keine Hinweise,Anja Matthes,www.ub.ovgu.de/Publizieren+_+Open+Access/Open+Access.html,01.12.2020,anja.matthes@ovgu.de,ja,21.03.2018,www.ub.ovgu.de/Publizieren+_+Open+Access/Open+Access/Policy.html,,,,ja,DFG-Kofinanziert,ja,www.ub.ovgu.de/Publizieren+_+Open+Access/Open+Access/Publikationsfonds+Artikel.html,ja,www.ub.ovgu.de/Publizieren+_+Open+Access/Open+Access/Publikationsfonds+Monografien.html,01.12.2020,,opendata.uni-halle.de/,,ja,21.03.2018,nein,,nein,"Reshanne R Reeder, Norbert Nass
 Doran Amos, Barbara Witter, 
 Ana Teles",nein,01.12.2020
Sachsen-Anhalt,NA,Fraunhofer-Institut für Mikrostruktur von Werkstoffen und Systemen (IMWS),Fraunhofer Institute for Microstructure of Materials and Systems (IMWS),NA,NA,NA,grid.469857.1,NA,10404,Walter-Hülse-Straße,1,NA,6120,Halle,Ingenieurwissenschaften,Materialwissenschaft und Werkstofftechnik,Werkstofftechnik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10404,,www.imws.fraunhofer.de/,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachsen-Anhalt,NA,Fraunhofer-Institut für Fabrikbetrieb und -automatisierung (IFF),Fraunhofer Institute for Factory Operation and Automation (IFF),NA,NA,NA,NA,NA,10644,Sandtorstraße,22,NA,39106,Magdeburg,Ingenieurwissenschaften,Maschinenbau/Verfahrenstechnik,Produktions- und Fertigungstechnologie,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10644,,www.iff.fraunhofer.de,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachsen-Anhalt,NA,Fraunhofer-Pilotanlagenzentrum für Polymersynthese und -verarbeitung (PAZ),Fraunhofer Pilot Plant Center for Polymer Synthesis and Processing PAZ,NA,NA,NA,NA,NA,21993283,Value Park A,74,NA,6258,Schkopau,Ingenieurwissenschaften,Maschinenbau/Verfahrenstechnik,Kunststofftechnik,NA,NA,NA,http://www.gerit.org/de/institutiondetail/21993283,,www.polymer-pilotanlagen.de,Forschungsorganisation: Frauenhofer-Gesellschaft,FhG,Fraunhofer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
